Date,Budget Profit,Budget COGS,Budget Margin,Budget Sales,Profit,Margin,Sales,COGS,Total Expenses,Marketing,Inventory,Espresso,Herbal Tea,Tea,Regular,East,South,West,Small Market,Colorado,Connecticut,Florida,Illinois,Iowa,Louisiana,Massachusetts,Missouri,Nevada,New Hampshire,New Mexico,New York,Ohio,Oklahoma,Oregon,Texas,Utah,Washington,Wisconsin
2011-01-01,40.0,50.0,70.0,120.0,47.0,75.0,145.0,55.0,47.0,18.0,312.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,40.0,50.0,70.0,120.0,39.0,71.0,132.0,53.0,45.0,17.0,299.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,20.0,40.0,50.0,90.0,22.0,56.0,97.0,42.0,37.0,13.0,384.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,50.0,30.0,60.0,90.0,31.0,64.0,118.0,47.0,43.0,15.0,375.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,40.0,50.0,70.0,120.0,39.0,71.0,132.0,53.0,45.0,17.0,380.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,40.0,40.0,70.0,110.0,31.0,65.0,121.0,49.0,44.0,16.0,392.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,40.0,60.0,80.0,140.0,39.0,104.0,189.0,85.0,65.0,32.0,476.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,40.0,50.0,80.0,130.0,32.0,93.0,169.0,76.0,61.0,28.0,580.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,30.0,60.0,70.0,130.0,50.0,98.0,190.0,80.0,64.0,30.0,494.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,20.0,50.0,60.0,110.0,36.0,83.0,160.0,67.0,59.0,25.0,599.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,30.0,40.0,50.0,90.0,50.0,98.0,189.0,79.0,64.0,30.0,593.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,50.0,50.0,70.0,120.0,46.0,89.0,163.0,74.0,43.0,22.0,949.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,50.0,50.0,70.0,120.0,68.0,90.0,176.0,75.0,44.0,23.0,956.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,40.0,50.0,60.0,110.0,52.0,80.0,147.0,68.0,39.0,21.0,998.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,40.0,40.0,60.0,100.0,49.0,74.0,145.0,62.0,41.0,19.0,1059.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,50.0,30.0,50.0,80.0,52.0,77.0,151.0,65.0,42.0,20.0,1053.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,40.0,40.0,60.0,100.0,53.0,76.0,148.0,63.0,40.0,19.0,1075.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,60.0,40.0,80.0,120.0,43.0,68.0,115.0,47.0,25.0,13.0,821.0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,50.0,30.0,60.0,90.0,32.0,52.0,87.0,35.0,20.0,9.0,894.0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,40.0,30.0,50.0,80.0,28.0,49.0,83.0,34.0,21.0,9.0,890.0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,50.0,40.0,70.0,110.0,41.0,64.0,108.0,44.0,23.0,12.0,886.0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,40.0,30.0,60.0,90.0,46.0,55.0,91.0,37.0,20.0,10.0,876.0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,70.0,60.0,100.0,160.0,38.0,77.0,130.0,53.0,39.0,16.0,338.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-03-01,80.0,70.0,110.0,180.0,48.0,89.0,150.0,61.0,41.0,19.0,325.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-10-01,110.0,90.0,140.0,230.0,56.0,99.0,167.0,68.0,43.0,21.0,438.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-01-01,70.0,60.0,100.0,160.0,59.0,77.0,145.0,53.0,41.0,16.0,338.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-04-01,90.0,80.0,130.0,210.0,80.0,100.0,180.0,69.0,46.0,22.0,340.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-06-01,110.0,90.0,150.0,240.0,91.0,114.0,191.0,79.0,45.0,25.0,425.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-02-01,60.0,110.0,160.0,270.0,15.0,128.0,220.0,92.0,113.0,83.0,541.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-03-01,70.0,110.0,170.0,280.0,16.0,132.0,227.0,95.0,116.0,86.0,532.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-04-01,70.0,110.0,170.0,280.0,17.0,132.0,227.0,95.0,115.0,86.0,554.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-03-01,70.0,110.0,170.0,280.0,24.0,132.0,242.0,95.0,116.0,86.0,532.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-09-01,60.0,110.0,160.0,270.0,24.0,130.0,238.0,93.0,114.0,84.0,692.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-03-01,10.0,40.0,60.0,100.0,0.0,87.0,150.0,63.0,87.0,57.0,506.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-08-01,10.0,20.0,50.0,70.0,-8.0,61.0,105.0,44.0,69.0,39.0,617.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-10-01,10.0,20.0,40.0,60.0,0.0,84.0,144.0,60.0,84.0,54.0,606.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-11-01,0.0,40.0,60.0,100.0,1.0,86.0,147.0,61.0,85.0,55.0,613.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-04-01,10.0,40.0,60.0,100.0,0.0,87.0,160.0,63.0,87.0,57.0,521.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-05-01,10.0,40.0,60.0,100.0,3.0,90.0,153.0,64.0,82.0,58.0,551.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-09-01,10.0,40.0,60.0,100.0,3.0,87.0,159.0,62.0,85.0,56.0,612.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-10-01,10.0,20.0,40.0,60.0,0.0,84.0,153.0,60.0,84.0,54.0,606.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-05-01,20.0,50.0,70.0,120.0,16.0,72.0,130.0,58.0,56.0,22.0,338.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-07-01,20.0,50.0,70.0,120.0,18.0,74.0,133.0,59.0,56.0,22.0,403.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-01-01,20.0,50.0,60.0,110.0,20.0,66.0,134.0,54.0,56.0,20.0,312.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-02-01,20.0,50.0,60.0,110.0,18.0,65.0,126.0,53.0,53.0,20.0,306.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-04-01,30.0,50.0,70.0,120.0,22.0,70.0,135.0,57.0,55.0,21.0,313.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-11-01,20.0,50.0,60.0,110.0,19.0,67.0,129.0,54.0,54.0,20.0,391.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-01-01,60.0,60.0,80.0,140.0,39.0,81.0,150.0,69.0,42.0,21.0,965.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-04-01,60.0,60.0,80.0,140.0,39.0,82.0,151.0,69.0,43.0,21.0,965.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-05-01,60.0,70.0,90.0,160.0,47.0,92.0,170.0,78.0,45.0,24.0,995.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-08-01,90.0,90.0,120.0,210.0,71.0,123.0,226.0,103.0,52.0,31.0,1073.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-09-01,70.0,70.0,100.0,170.0,53.0,99.0,182.0,83.0,46.0,25.0,1063.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-11-01,40.0,70.0,80.0,150.0,45.0,89.0,164.0,75.0,44.0,23.0,1063.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-03-01,50.0,60.0,80.0,140.0,59.0,84.0,165.0,71.0,44.0,22.0,950.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-04-01,60.0,60.0,80.0,140.0,58.0,82.0,161.0,69.0,43.0,21.0,965.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-05-01,60.0,70.0,90.0,160.0,65.0,92.0,168.0,78.0,42.0,24.0,995.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-09-01,70.0,70.0,100.0,170.0,79.0,99.0,194.0,83.0,46.0,25.0,1063.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-01-01,120.0,100.0,170.0,270.0,115.0,186.0,310.0,124.0,71.0,40.0,961.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-02-01,120.0,110.0,170.0,280.0,121.0,195.0,325.0,130.0,74.0,42.0,945.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-03-01,120.0,100.0,170.0,270.0,115.0,186.0,309.0,123.0,71.0,40.0,932.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-05-01,100.0,90.0,150.0,240.0,98.0,165.0,275.0,110.0,67.0,36.0,1020.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-06-01,90.0,70.0,130.0,200.0,79.0,140.0,232.0,92.0,61.0,30.0,1102.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-10-01,130.0,90.0,160.0,250.0,115.0,188.0,313.0,125.0,73.0,41.0,1119.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-11-01,120.0,120.0,180.0,300.0,122.0,195.0,325.0,130.0,73.0,42.0,1134.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-02-01,120.0,110.0,170.0,280.0,180.0,195.0,346.0,130.0,74.0,42.0,945.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-04-01,110.0,90.0,160.0,250.0,157.0,176.0,311.0,116.0,70.0,38.0,962.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-11-01,120.0,120.0,180.0,300.0,181.0,195.0,346.0,130.0,73.0,42.0,1134.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-05-01,50.0,30.0,50.0,80.0,36.0,59.0,99.0,40.0,23.0,11.0,793.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-05-01,50.0,30.0,50.0,80.0,50.0,59.0,98.0,40.0,21.0,11.0,793.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-03-01,40.0,40.0,70.0,110.0,62.0,105.0,167.0,62.0,43.0,19.0,346.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-10-01,40.0,20.0,50.0,70.0,57.0,99.0,159.0,60.0,42.0,18.0,329.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-02-01,40.0,40.0,70.0,110.0,98.0,109.0,185.0,65.0,43.0,20.0,372.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-06-01,30.0,30.0,50.0,80.0,57.0,78.0,124.0,47.0,34.0,14.0,371.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-09-01,40.0,30.0,70.0,100.0,80.0,94.0,161.0,57.0,40.0,17.0,349.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-02-01,40.0,30.0,60.0,90.0,41.0,81.0,137.0,56.0,40.0,17.0,382.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-06-01,20.0,20.0,40.0,60.0,24.0,59.0,99.0,40.0,35.0,12.0,443.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-08-01,30.0,20.0,40.0,60.0,20.0,54.0,90.0,36.0,34.0,11.0,458.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-11-01,30.0,30.0,50.0,80.0,34.0,71.0,120.0,49.0,37.0,15.0,454.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-01-01,40.0,40.0,60.0,100.0,75.0,89.0,168.0,61.0,43.0,19.0,390.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-03-01,30.0,30.0,50.0,80.0,56.0,77.0,137.0,52.0,39.0,16.0,376.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-04-01,20.0,30.0,40.0,70.0,45.0,68.0,121.0,46.0,38.0,14.0,388.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-06-01,20.0,20.0,40.0,60.0,33.0,59.0,98.0,40.0,33.0,12.0,443.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-08-01,30.0,20.0,40.0,60.0,28.0,54.0,89.0,36.0,32.0,11.0,458.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-11-01,30.0,30.0,50.0,80.0,50.0,71.0,128.0,49.0,37.0,15.0,454.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-04-01,30.0,40.0,50.0,90.0,32.0,58.0,103.0,45.0,26.0,14.0,605.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-05-01,40.0,40.0,60.0,100.0,34.0,62.0,110.0,48.0,28.0,15.0,599.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-06-01,40.0,40.0,60.0,100.0,34.0,62.0,110.0,48.0,28.0,15.0,593.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-07-01,50.0,40.0,70.0,110.0,36.0,65.0,115.0,50.0,29.0,16.0,587.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-08-01,30.0,20.0,40.0,60.0,17.0,39.0,69.0,30.0,22.0,9.0,581.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-09-01,30.0,30.0,40.0,70.0,21.0,43.0,76.0,33.0,22.0,10.0,577.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2010-10-01,20.0,10.0,20.0,30.0,10.0,29.0,51.0,22.0,19.0,7.0,573.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-01-01,40.0,40.0,60.0,100.0,55.0,62.0,123.0,48.0,28.0,15.0,623.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-05-01,40.0,40.0,60.0,100.0,47.0,62.0,109.0,48.0,26.0,15.0,599.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-07-01,50.0,40.0,70.0,110.0,50.0,65.0,114.0,50.0,27.0,16.0,587.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-10-01,20.0,10.0,20.0,30.0,15.0,29.0,54.0,22.0,19.0,7.0,573.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-12-01,20.0,20.0,30.0,50.0,19.0,32.0,60.0,24.0,19.0,7.0,567.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011-01-01,30.0,110.0,70.0,180.0,-3.0,50.0,162.0,95.0,55.0,30.0,608.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,40.0,50.0,80.0,130.0,88.0,114.0,201.0,75.0,55.0,24.0,659.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,100.0,80.0,120.0,200.0,148.0,137.0,247.0,95.0,37.0,26.0,809.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,40.0,20.0,40.0,60.0,26.0,51.0,90.0,39.0,25.0,12.0,541.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,90.0,70.0,110.0,180.0,120.0,163.0,276.0,113.0,43.0,31.0,897.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
